AÑO,CENTRO DIRECTIVO,CONCEPTO ECONÓMICO,IMPORTE
2011,ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA INFORMÁTICA,Gastos de viajes por gestión y representación,1922.92
2011,ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA INFORMÁTICA,Gastos diversos: Atenciones protoc. y represent.,6674.86
2011,ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA INFORMÁTICA,"Gastos diversos: Cursos, cursillos y conferencias",400.0
2011,ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA INFORMÁTICA,Gastos diversos: Reuniones y conferencias (C.Ins),660.0
2011,ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA INFORMÁTICA,"Gastos en viajes deportivos, culturales y sociales",192.0
2011,ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA INFORMÁTICA,Otros Gastos diversos,335.15
2011,ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA INFORMÁTICA,Repar. y conserv. de edificios y otr.constr.,15.47
2011,ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA INFORMÁTICA,Suministros de combustibles,210.0
2011,ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA INFORMÁTICA,Suministros de otros productos,2276.06
2011,ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA INFORMÁTICA,Trabajos por otras empresas: Otros,449.45
2011,ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA INFORMÁTICA,Transp. y comunic.: Otros serv. de transporte,98.9
2011,INTERCAMBIO,Compras de material informático no inventariable,225.92
2011,INTERCAMBIO,Gastos de viajes por gestión y representación,53691.16
2011,INTERCAMBIO,Gastos diversos: Atenciones protoc. y represent.,6644.8
2011,INTERCAMBIO,Gastos diversos: Reuniones y conferencias (C.Insc),50.0
2011,INTERCAMBIO,Otras indemnizaciones :Asistenciales,134.67
2011,INTERCAMBIO,Otros Gastos diversos,160.69
2011,INTERCAMBIO,Otros gastos de oficina,386.56
2011,INTERCAMBIO,Suministros de otros productos,138.06
2011,INTERCAMBIO,Trabajos por otras empresas: Otros,273.86
2011,INTERCAMBIO,Transp. y comunic.: Otros serv. de transporte,47.45
2011,INTERCAMBIO,Transportes y comunicaciones: Correo y mensajería,49.06
2011,"MORANT ANGLADA, FRANCISCO",Actos protocolarios y de representación,2489.58
2011,"MORANT ANGLADA, FRANCISCO",Correo y mensajería,38.4
2011,"MORANT ANGLADA, FRANCISCO","Cursos, cursillos y conferencias",13326.16
2011,"MORANT ANGLADA, FRANCISCO","Dietas, locomoción y traslados",19843.52
2011,"MORANT ANGLADA, FRANCISCO",Libros y otras publicaciones,35.61
2011,"MORANT ANGLADA, FRANCISCO",Material informático no inventariable,743.0
2011,"MORANT ANGLADA, FRANCISCO",otros gastos diversos,114.07
2011,"PAYRI GONZALEZ, FRANCISCO",Actos protocolarios y de representación,4293.86
2011,"PAYRI GONZALEZ, FRANCISCO",Adquisición equipos didácticos e investigación,6415.39
2011,"PAYRI GONZALEZ, FRANCISCO",Arrendamientos de maquinaría,103.81
2011,"PAYRI GONZALEZ, FRANCISCO",Conservación de maquinaría,148.88
2011,"PAYRI GONZALEZ, FRANCISCO",Conservación de otro inmovilizado material,1281.24
2011,"PAYRI GONZALEZ, FRANCISCO",Correo y mensajería,56.77
2011,"PAYRI GONZALEZ, FRANCISCO","Cursos, cursillos y conferencias",1213.93
2011,"PAYRI GONZALEZ, FRANCISCO","Dietas, locomoción y traslados",33779.24
2011,"PAYRI GONZALEZ, FRANCISCO",Libros y otras publicaciones,1023.6
2011,"PAYRI GONZALEZ, FRANCISCO",Reuniones y conferencias (Cuotas inscripción),5557.09
2011,"PAYRI GONZALEZ, FRANCISCO",Seguros de vehiculos,1127.59
2011,"PAYRI GONZALEZ, FRANCISCO",Servicios de transporte,922.55
2011,"PAYRI GONZALEZ, FRANCISCO",Suministros de combustible,2323.46
2011,"PAYRI GONZALEZ, FRANCISCO",Suministros de material de laboratorio,1038.27
2011,"PAYRI GONZALEZ, FRANCISCO",Suministros de otros productos,279.68
2011,"PAYRI GONZALEZ, FRANCISCO",Trabajos por otras empresas: Otros,2241.02
2011,"PAYRI GONZALEZ, FRANCISCO",Tributos,265.96
2011,"PAYRI GONZALEZ, FRANCISCO",otros gastos diversos,2498.31
2011,PROFESORADO Y ORDENACION ACADEMICA,Gastos de viajes por gestión y representación,9808.53
2011,PROFESORADO Y ORDENACION ACADEMICA,Gastos diversos: Atenciones protoc. y represent.,3663.39
2011,PROFESORADO Y ORDENACION ACADEMICA,Gastos diversos: Reuniones y conferencias (C.Insc),260.0
2011,PROFESORADO Y ORDENACION ACADEMICA,Otros Gastos diversos,209.54
2011,PROFESORADO Y ORDENACION ACADEMICA,Suministros de otros productos,725.25
2011,RECTOR,Gastos de viajes por gestión y representación,7247.56
2011,RECTOR,Gastos diversos: Atenciones protoc. y represent.,7410.89
2011,RECTOR,Gastos diversos: Reuniones y conferencias (C.Insc),500.0
2011,RECTOR,Otros Gastos diversos,388.46
2011,RECTOR,Transp. y comunic.: Otros serv. de transporte,36.75
2011,SERVICIO INTEGRADO DE EMPLEO,Adquisición fondos bibliográficos,268.3
2011,SERVICIO INTEGRADO DE EMPLEO,Compras de material de oficina no inventariable,716.5
2011,SERVICIO INTEGRADO DE EMPLEO,Compras de material informático no inventariable,1138.56
2011,SERVICIO INTEGRADO DE EMPLEO,Gastos de viajes por gestión y representación,4893.02
2011,SERVICIO INTEGRADO DE EMPLEO,Gastos diversos: Atenciones protoc. y represent.,2159.78
2011,SERVICIO INTEGRADO DE EMPLEO,Gastos diversos: Reuniones y conferencias (C.Insc),2122.85
2011,SERVICIO INTEGRADO DE EMPLEO,Gastos en fotocopias,554.85
2011,SERVICIO INTEGRADO DE EMPLEO,Otros Gastos diversos,1785.74
2011,SERVICIO INTEGRADO DE EMPLEO,Trabajos por otras empresas: Otros,2351.61
2011,SERVICIO INTEGRADO DE EMPLEO,Transportes y comunicaciones: Correo y mensajería,164.76
2011,SERVICIO INTEGRADO DE EMPLEO,Tributos de carácter estatal,228.94
2011,DEPARTAMENTO COMUNICACIONES,Compras de material audiovisual no inventariable,73.65
2011,DEPARTAMENTO COMUNICACIONES,Compras de material de oficina no inventariable,56.25
2011,DEPARTAMENTO COMUNICACIONES,Compras de material informático no inventariable,165.31
2011,DEPARTAMENTO COMUNICACIONES,Gastos diversos: Atenciones protoc. y represent.,42.0
2011,DEPARTAMENTO COMUNICACIONES,Otros Gastos diversos,45.75
2011,DEPARTAMENTO COMUNICACIONES,Repar. y conserv. de equi.procesos de información,147.5
2011,DEPARTAMENTO COMUNICACIONES,Reparación y conservación de mobiliario y enseres,94.4
2011,DEPARTAMENTO COMUNICACIONES,Reparación y conservación de otros bienes,117.41
2011,DEPARTAMENTO COMUNICACIONES,Suministros de combustibles,195.0
2011,DEPARTAMENTO COMUNICACIONES,Suministros de material de laboratorio,1189.03
2011,DEPARTAMENTO COMUNICACIONES,Suministros de otros productos,33.6
2011,AREA INFORMACION,Compras de material de oficina no inventariable,530.05
2011,AREA INFORMACION,Gastos de viajes por gestión y representación,1492.84
2011,AREA INFORMACION,"Gastos diversos: Cursos, cursillos y conferencias",2048.0
2011,AREA INFORMACION,Gastos diversos: Reuniones y conferencias (C.Ins),300.0
2011,AREA INFORMACION,Otros Gastos diversos,864.99
2011,AREA INFORMACION,Suministros de material de laboratorio,107.6
2011,AREA INFORMACION,Suministros de otros productos,640.85
2011,AREA INFORMACION,Trabajos por otras empresas: Otros,11290.12
2011,PROMOCIÓ I NORMALITZACIÓ LINGÜÍSTICA,Adquisición de material de oficina inventariable,72.85
2011,PROMOCIÓ I NORMALITZACIÓ LINGÜÍSTICA,Adquisición equipos didácticos e investigación,769.0
2011,PROMOCIÓ I NORMALITZACIÓ LINGÜÍSTICA,Adquisición equipos procesos información,2537.63
2011,PROMOCIÓ I NORMALITZACIÓ LINGÜÍSTICA,Compras de material de oficina no inventariable,293.82
2011,PROMOCIÓ I NORMALITZACIÓ LINGÜÍSTICA,Compras de material informático no inventariable,6784.5
2011,PROMOCIÓ I NORMALITZACIÓ LINGÜÍSTICA,Gastos diversos: Atenciones protoc. y represent.,223.1
2011,PROMOCIÓ I NORMALITZACIÓ LINGÜÍSTICA,"Gastos diversos: Cursos, cursillos y conferencias",11011.65
2011,PROMOCIÓ I NORMALITZACIÓ LINGÜÍSTICA,Gastos diversos: Reuniones y conferencias (C.Insc),352.6
2011,PROMOCIÓ I NORMALITZACIÓ LINGÜÍSTICA,Suministros de otros productos,2530.06
2011,PROMOCIÓ I NORMALITZACIÓ LINGÜÍSTICA,Trab.por ot. empr.: Estudios y trabajos técnicos,10099.73
2011,PROMOCIÓ I NORMALITZACIÓ LINGÜÍSTICA,Trabajos por otras empresas: Otros,45706.13
2011,SECRETARIA GENERAL Y SERVICIOS JURIDICOS,Gastos de viajes por gestión y representación,935.52
2011,SECRETARIA GENERAL Y SERVICIOS JURIDICOS,Gastos diversos: Atenciones protoc. y represent.,248.4
2011,SECRETARIA GENERAL Y SERVICIOS JURIDICOS,Gastos diversos: Jurídico-contencioso,1551.59
2011,SECRETARIA GENERAL Y SERVICIOS JURIDICOS,Gastos diversos: Reuniones y conferencias (C.Insc),900.0
2011,SECRETARIA GENERAL Y SERVICIOS JURIDICOS,Gastos en fotocopias,232.5
2011,SECRETARIA GENERAL Y SERVICIOS JURIDICOS,Otros Gastos diversos,246.64
2011,SECRETARIA GENERAL Y SERVICIOS JURIDICOS,Suministros de otros productos,151.6
2011,SECRETARIA GENERAL Y SERVICIOS JURIDICOS,Trabajos por otras empresas: Otros,111.13
2011,SECRETARIA GENERAL Y SERVICIOS JURIDICOS,Transp. y comunic.: Otros serv. de transporte,27.55
2011,SECRETARIA GENERAL Y SERVICIOS JURIDICOS,Transportes y comunicaciones: Correo y mensajería,159.74
2011,CENTRE COOPERACIÓ I DESENVOLUPAMENT,Compras de material audiovisual no inventariable,25.3
2011,CENTRE COOPERACIÓ I DESENVOLUPAMENT,Compras de material informático no inventariable,114.71
2011,CENTRE COOPERACIÓ I DESENVOLUPAMENT,Gastos de viajes por gestión y representación,4608.13
2011,CENTRE COOPERACIÓ I DESENVOLUPAMENT,Gastos diversos: Atenciones protoc. y represent.,578.07
2011,CENTRE COOPERACIÓ I DESENVOLUPAMENT,"Gastos diversos: Cursos, cursillos y conferencias",119.5
2011,CENTRE COOPERACIÓ I DESENVOLUPAMENT,Gastos diversos: Reuniones y conferencias (C.Ins),450.0
2011,CENTRE COOPERACIÓ I DESENVOLUPAMENT,Otros Gastos diversos,150.5
2011,CENTRE COOPERACIÓ I DESENVOLUPAMENT,Suministros de otros productos,342.9
2011,CENTRE COOPERACIÓ I DESENVOLUPAMENT,Trabajos por otras empresas: Otros,300.0
2011,CENTRE COOPERACIÓ I DESENVOLUPAMENT,Transferencias corrientes a familias: Becas,250.0
2011,CENTRE COOPERACIÓ I DESENVOLUPAMENT,Transp. y comunic.: Otros serv. de transporte,6.95
2011,CENTRE COOPERACIÓ I DESENVOLUPAMENT,Transportes y comunicaciones: Correo y mensajería,88.06
2011,"ETSI CAMINOS, CANALES Y PUERTOS",Gastos de viajes de alumnos,412.0
2011,"ETSI CAMINOS, CANALES Y PUERTOS",Gastos diversos: Atenciones protoc. y represent.,1259.08
2011,"ETSI CAMINOS, CANALES Y PUERTOS",Otros Gastos diversos,459.7
2011,"ETSI CAMINOS, CANALES Y PUERTOS",Suministros de otros productos,110.45
2011,ACCIÓN INTERNACIONAL,Adquisición equipos procesos información,834.22
2011,ACCIÓN INTERNACIONAL,Compras de material informático no inventariable,185.59
2011,ACCIÓN INTERNACIONAL,Gastos de viajes por gestión y representación,10969.14
2011,ACCIÓN INTERNACIONAL,Gastos diversos: Atenciones protoc. y represent.,3377.86
2011,ACCIÓN INTERNACIONAL,Otros Gastos diversos,724.22
2011,ACCIÓN INTERNACIONAL,Trabajos por otras empresas: Otros,223.91
2011,ACCIÓN INTERNACIONAL,Transp. y comunic.: Otros serv. de transporte,30.0
2011,ACCIÓN INTERNACIONAL,Transportes y comunicaciones: Correo y mensajería,151.64
2011,AREA DE DEPORTES,Adquisición de material deportivo,4634.56
2011,AREA DE DEPORTES,Adquisición de otro inmovilizado material,1421.11
2011,AREA DE DEPORTES,Adquisición equipos procesos información,87.9
2011,AREA DE DEPORTES,Arrendamientos de material de transporte,212.4
2011,AREA DE DEPORTES,Arrendamientos de otros bienes,42.47
2011,AREA DE DEPORTES,Compras de libros y otras publicaciones,2173.46
2011,AREA DE DEPORTES,Compras de material audiovisual no inventariable,94.94
2011,AREA DE DEPORTES,Compras de material de oficina no inventariable,838.95
2011,AREA DE DEPORTES,"Compras de prensa, revistas y public. periódicas",199.86
2011,AREA DE DEPORTES,Gastos diversos: Atenciones protoc. y represent.,985.17
2011,AREA DE DEPORTES,Gastos diversos: Reuniones y conferencias (C.Insc),25.0
2011,AREA DE DEPORTES,Gastos en fotocopias,76.27
2011,AREA DE DEPORTES,"Gastos en viajes deportivos, culturales y sociales",67839.07
2011,AREA DE DEPORTES,Otros Gastos diversos,27674.53
2011,AREA DE DEPORTES,Primas de seguros: De vehículos,5847.87
2011,AREA DE DEPORTES,Repar. y conservación de material de transporte,496.37
2011,AREA DE DEPORTES,Reparación y conservación de otros bienes,631.99
2011,AREA DE DEPORTES,Suministros de agua,105.99
2011,AREA DE DEPORTES,Suministros de combustibles,524.34
2011,AREA DE DEPORTES,Suministros de material deportivo,9024.27
2011,AREA DE DEPORTES,Suministros de otros productos,4633.89
2011,AREA DE DEPORTES,Trab.por ot. empr.: Estudios y trabajos técnicos,96.56
2011,AREA DE DEPORTES,Trabajos por otras empresas: Limpieza y aseo,22.5
2011,AREA DE DEPORTES,Trabajos por otras empresas: Otros,15444.09
2011,AREA DE DEPORTES,Transp. y comunic.: Otros serv. de transporte,192.45
2011,AREA DE DEPORTES,Transportes y comunicaciones: Correo y mensajería,67.97
2011,AREA DE DEPORTES,Transportes y comunicaciones: Teléfono,10.0
2011,AREA DE DEPORTES,Tributos de carácter local,440.51
2011,AREA DE SISTEMAS DE INFORMACION Y COMUNICACION,Adquisición aplicaciones informáticas,932.43
2011,AREA DE SISTEMAS DE INFORMACION Y COMUNICACION,Adquisición de otro inmovilizado material,59.0
2011,AREA DE SISTEMAS DE INFORMACION Y COMUNICACION,Adquisición equipos procesos información,23743.95
2011,AREA DE SISTEMAS DE INFORMACION Y COMUNICACION,Compras de libros y otras publicaciones,391.05
2011,AREA DE SISTEMAS DE INFORMACION Y COMUNICACION,Compras de material informático no inventariable,49.91
2011,AREA DE SISTEMAS DE INFORMACION Y COMUNICACION,Gastos de viajes por docencia,23469.43
2011,AREA DE SISTEMAS DE INFORMACION Y COMUNICACION,Gastos diversos: Atenciones protoc. y represent.,213.46
2011,AREA DE SISTEMAS DE INFORMACION Y COMUNICACION,Gastos diversos: Reuniones y conferencias (C.Insc),2368.39
2011,AREA DE SISTEMAS DE INFORMACION Y COMUNICACION,Otros Gastos diversos,77.26
2011,AREA DE SISTEMAS DE INFORMACION Y COMUNICACION,Primas de seguros: De otros riesgos,97.5
2011,AREA DE SISTEMAS DE INFORMACION Y COMUNICACION,Repar. y conserv. de equi.procesos de información,447.36
2011,AREA DE SISTEMAS DE INFORMACION Y COMUNICACION,Reparación y conserv. de edificios y ot. const.,59.0
2011,AREA DE SISTEMAS DE INFORMACION Y COMUNICACION,Reparación y conservación de otros bienes,1450.62
2011,AREA DE SISTEMAS DE INFORMACION Y COMUNICACION,Suministros de otros productos,382.83
2011,AREA DE SISTEMAS DE INFORMACION Y COMUNICACION,Trabajos por otras empresas: Otros,2014.34
2011,AREA DE SISTEMAS DE INFORMACION Y COMUNICACION,Transp. y comunic.: Otros serv. de transporte,30.55
2011,AREA DE SISTEMAS DE INFORMACION Y COMUNICACION,Transportes y comunicaciones: Correo y mensajería,52.51
2011,BIBLIOTECA Y DOCUMENTACION CIENTIFICA,Adquisición fondos bibliográficos,491.56
2011,BIBLIOTECA Y DOCUMENTACION CIENTIFICA,Compras de libros y otras publicaciones,3525.08
2011,BIBLIOTECA Y DOCUMENTACION CIENTIFICA,Compras de material informático no inventariable,69.36
2011,BIBLIOTECA Y DOCUMENTACION CIENTIFICA,"Compras de prensa, revistas y public. periódicas",452.0
2011,BIBLIOTECA Y DOCUMENTACION CIENTIFICA,Gastos de viajes por gestión y representación,972.54
2011,BIBLIOTECA Y DOCUMENTACION CIENTIFICA,Gastos diversos: Reuniones y conferencias (C.Insc),1025.0
2011,BIBLIOTECA Y DOCUMENTACION CIENTIFICA,Otros Gastos diversos,2535.28
2011,BIBLIOTECA Y DOCUMENTACION CIENTIFICA,Trabajos por otras empresas: Otros,5.98
2011,CONSEJO SOCIAL,Compras de material de oficina no inventariable,1999.51
2011,CONSEJO SOCIAL,Gastos de viajes por gestión y representación,1945.35
2011,CONSEJO SOCIAL,Gastos diversos: Atenciones protoc. y represent.,7279.79
2011,CONSEJO SOCIAL,Gastos diversos: Reuniones y conferencias (C.Insc),150.0
2011,CONSEJO SOCIAL,Otros Gastos diversos,2045.85
2011,CONSEJO SOCIAL,Primas de seguros: De otros riesgos,158.99
2011,CONSEJO SOCIAL,Trabajos por otras empresas: Otros,7230.4
2011,DEP DE CONST ARQUITECTONICAS,Adquisición de útiles y herramientas,617.36
2011,DEP DE CONST ARQUITECTONICAS,Adquisición equipos didácticos e investigación,2126.54
2011,DEP DE CONST ARQUITECTONICAS,Adquisición equipos procesos información,1631.54
2011,DEP DE CONST ARQUITECTONICAS,Gastos de viajes por docencia,288.7
2011,DEP DE CONST ARQUITECTONICAS,Gastos diversos: Atenciones protoc. y represent.,225.0
2011,DEP DE CONST ARQUITECTONICAS,Gastos diversos: Reuniones y conferencias (C.Insc),1766.6
2011,DEP DE CONST ARQUITECTONICAS,Otros Gastos diversos,36.45
2011,DEP DE CONST ARQUITECTONICAS,Reparación y conservación de maquinaria,160.6
2011,DEP DE CONST ARQUITECTONICAS,Suministros de otros productos,82.64
2011,DEP DE CONST ARQUITECTONICAS,Transportes y comunicaciones: Correo y mensajería,327.59
2011,DEP DE ING DE SIST COMPUT Y AUTO,Adquisición equipos didácticos e investigación,270.34
2011,DEP DE ING DE SIST COMPUT Y AUTO,Adquisición equipos procesos información,854.93
2011,DEP DE ING DE SIST COMPUT Y AUTO,Gastos de viajes por investigación,1814.92
2011,DEP DE ING DE SIST COMPUT Y AUTO,Gastos diversos: Reuniones y conferencias (C.Insc),2160.0
2011,DEP DE ING DE SIST COMPUT Y AUTO,Indemniz. de otros gastos por razón de servicios,2263.05
2011,DEP DE ING DE SIST COMPUT Y AUTO,Repar. y conservación de material de transporte,140.0
2011,DEP DE ING DE SIST COMPUT Y AUTO,Suministros de material de laboratorio,361.54
2011,DEP DE ING DE SIST COMPUT Y AUTO,Suministros de otros productos,2410.75
2011,DEP DE ING DE SIST COMPUT Y AUTO,Trab.por ot. empr.: Estudios y trabajos técnicos,450.0
2011,DEP DE ING DE SIST COMPUT Y AUTO,"Tribun.de oposic.,Concursos,Tesis Doctorales, etc.",1496.65
2011,DEP DE INGENIERIA QUIMICA Y NUCLEAR,Adquisición de otro inmovilizado material,94.0
2011,DEP DE INGENIERIA QUIMICA Y NUCLEAR,Adquisición equipos didácticos e investigación,2442.6
2011,DEP DE INGENIERIA QUIMICA Y NUCLEAR,Adquisición equipos procesos información,712.9
2011,DEP DE INGENIERIA QUIMICA Y NUCLEAR,Compras de libros y otras publicaciones,60.0
2011,DEP DE INGENIERIA QUIMICA Y NUCLEAR,Compras de material de oficina no inventariable,35.9
2011,DEP DE INGENIERIA QUIMICA Y NUCLEAR,Compras de material informático no inventariable,119.6
2011,DEP DE INGENIERIA QUIMICA Y NUCLEAR,Gastos de viajes por docencia,386.41
2011,DEP DE INGENIERIA QUIMICA Y NUCLEAR,Gastos de viajes por gestión y representación,50.0
2011,DEP DE INGENIERIA QUIMICA Y NUCLEAR,Gastos diversos: Atenciones protoc. y represent.,383.45
2011,DEP DE INGENIERIA QUIMICA Y NUCLEAR,"Gastos diversos: Cursos, cursillos y conferencias",90.0
